Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag,IncomeByPosition,MaturityDate,StrikePrice
7/15/2024,SIXF,4SPY  240731P00434590,4SPY  240731P00434590,SPY 07/31/2024 434.59 P,-246,0.0681,-1675.26,-0.01%,12714901.3,475000,19,,,7/31/2024,434.59
7/15/2024,SIXF,4SPY  240731P00482830,4SPY  240731P00482830,SPY 07/31/2024 482.83 P,246,0.1301,3200.46,0.03%,12714901.3,475000,19,,,7/31/2024,482.83
7/15/2024,SIXF,Cash&Other,Cash&Other,Cash&Other,45048.88,1,45048.88,0.35%,12714901.3,475000,19,Y,,,
7/15/2024,SIXJ,4SPY  241231C00004030,4SPY  241231C00004030,SPY 12/31/2024 4.03 C,2223,553.01,122934123,100.55%,122258468,4250000,170,,,12/31/2024,4.03
7/15/2024,SIXJ,4SPY  241231C00586290,4SPY  241231C00586290,SPY 12/31/2024 586.29 C,-2223,12.14,-2698722,-2.21%,122258468,4250000,170,,,12/31/2024,586.29
7/15/2024,SIXJ,4SPY  241231P00489800,4SPY  241231P00489800,SPY 12/31/2024 489.80 P,-2223,4.15,-922545,-0.75%,122258468,4250000,170,,,12/31/2024,489.8
7/15/2024,SIXJ,4SPY  241231P00544170,4SPY  241231P00544170,SPY 12/31/2024 544.17 P,2223,11.24,2498652,2.04%,122258468,4250000,170,,,12/31/2024,544.17
7/15/2024,SIXJ,Cash&Other,Cash&Other,Cash&Other,439544.34,1,439544.34,0.36%,122258468,4250000,170,Y,,,
7/15/2024,SIXO,4SPY  240930C00003870,4SPY  240930C00003870,SPY 09/30/2024 3.87 C,1851,554.7057,102676025.1,101.43%,101229373.2,3275000,131,,,9/30/2024,3.87
7/15/2024,SIXO,4SPY  240930C00564600,4SPY  240930C00564600,SPY 09/30/2024 564.60 C,-1851,11.7154,-2168520.54,-2.14%,101229373.2,3275000,131,,,9/30/2024,564.6
7/15/2024,SIXO,4SPY  240930P00470760,4SPY  240930P00470760,SPY 09/30/2024 470.76 P,-1851,0.845,-156409.5,-0.15%,101229373.2,3275000,131,,,9/30/2024,470.76
7/15/2024,SIXO,4SPY  240930P00523020,4SPY  240930P00523020,SPY 09/30/2024 523.02 P,1851,2.8051,519224.01,0.51%,101229373.2,3275000,131,,,9/30/2024,523.02
7/15/2024,SIXO,Cash&Other,Cash&Other,Cash&Other,352913.99,1,352913.99,0.35%,101229373.2,3275000,131,Y,,,
7/15/2024,SIXP,4SPY  240830C00003760,4SPY  240830C00003760,SPY 08/30/2024 3.76 C,554,556.2904,30818488.16,103.11%,29887633.15,1125000,45,,,8/30/2024,3.76
7/15/2024,SIXP,4SPY  240830C00548570,4SPY  240830C00548570,SPY 08/30/2024 548.57 C,-554,19.532,-1082072.8,-3.62%,29887633.15,1125000,45,,,8/30/2024,548.57
7/15/2024,SIXP,4SPY  240830P00457270,4SPY  240830P00457270,SPY 08/30/2024 457.27 P,-554,0.3041,-16847.14,-0.06%,29887633.15,1125000,45,,,8/30/2024,457.27
7/15/2024,SIXP,4SPY  240830P00508030,4SPY  240830P00508030,SPY 08/30/2024 508.03 P,554,0.8429,46696.66,0.16%,29887633.15,1125000,45,,,8/30/2024,508.03
7/15/2024,SIXP,Cash&Other,Cash&Other,Cash&Other,119555.4,1,119555.4,0.40%,29887633.15,1125000,45,Y,,,
7/15/2024,SIXZ,4SPY  241031C00003710,4SPY  241031C00003710,SPY 10/31/2024 3.71 C,150,555.1102,8326653,105.44%,7896942.15,300000,12,,,10/31/2024,3.71
7/15/2024,SIXZ,4SPY  241031C00543690,4SPY  241031C00543690,SPY 10/31/2024 543.69 C,-150,31.0701,-466051.5,-5.90%,7896942.15,300000,12,,,10/31/2024,543.69
7/15/2024,SIXZ,4SPY  241031P00451780,4SPY  241031P00451780,SPY 10/31/2024 451.78 P,-150,1.0376,-15564,-0.20%,7896942.15,300000,12,,,10/31/2024,451.78
7/15/2024,SIXZ,4SPY  241031P00501930,4SPY  241031P00501930,SPY 10/31/2024 501.93 P,150,2.602,39030,0.49%,7896942.15,300000,12,,,10/31/2024,501.93
7/15/2024,SIXZ,Cash&Other,Cash&Other,Cash&Other,12395.67,1,12395.67,0.16%,7896942.15,300000,12,Y,,,
